Saami {prop} (Saami language)	 :: Samisk språk
Spanish {prop} (Romance language of Spain and the Americas)	 :: [Bokmål] spansk {m}; [Nynorsk] spansk {m}
Spanish Water Dog {n} (Spanish Water Dog)	 :: spansk vannhund
spank {v} (to smack or slap a person's buttocks, with the bare hand or other object.)	 :: daske
spanner {n} (hand tool for adjusting nuts and bolts)	 :: skiftenøkkel {m}; [Bokmål] fastnøkkel {m}
spanworm {n} (measuring worm) SEE: measuring worm	 ::
spare time {n} (free time) SEE: free time	 ::
spare tire {n} (extra tire) SEE: spare tyre	 ::
spare tire {n} (fat around midsection) SEE: spare tyre	 ::
spare wheel {n} (extra wheel) SEE: spare tyre	 ::
spark {n} (burst of electrical discharge)	 :: [Bokmål] gnist {m}; [Nynorsk] gneiste {m}
spark {n} (figurative: small amount of something, which has the potential to become something greater)	 :: [Bokmål] gnist {m}; [Nynorsk] gneiste {m}
spark {n} (informal: ship's radio operator)	 :: gnist {m}
spark {n} (particle of glowing matter)	 :: [Bokmål] gnist {m}; [Nynorsk] gneiste {m}
sparkling {adj} (of an object)	 :: glitre
spark plug {n} (device that forms a high-voltage spark for fuel ignition)	 :: tennplugg {c}
sparrow {n} (Passer domesticus)	 :: gråspurv; [Nynorsk] gråsporv
sparrow {n}	 :: spurv, gråspurv {m}
sparrow hawk {n} (Accipiter nisus) SEE: Eurasian sparrowhawk	 ::
sparrow hawk {n} (Falco sparverius) SEE: American kestrel	 ::
sparrowhawk {n} (Eurasian sparrowhawk) SEE: Eurasian sparrowhawk	 ::
Sparta {prop} (ancient city-state in southern Greece)	 :: Sparta
spartan {adj} (austere, lacking luxury)	 :: [Bokmål] spartansk; [Nynorsk] spartansk
Spartan {adj} (of Sparta)	 :: [Bokmål] spartansk; [Nynorsk] spartansk
Spartan {adj} (spartan) SEE: spartan	 ::
spasm {n} (contraction of a muscle)	 :: krampe {m} {f}
spat {n} (covering or decorative covering worn over a shoe)	 :: gamasje
spawner {n} (female fish)	 :: [Bokmål] hunnfisk {m}; [Nynorsk] hofisk {m}
speak {v} (to be able to communicate in a language)	 :: snakke
speak {v} (to communicate with one's voice using words)	 :: snakke
speaker {n} (loudspeaker)	 :: [Bokmål] høyttaler {m}, høytaler {m}, høgtaler {m}; [Nynorsk] høgtalar {m}
speaking {adj} (eloquent) SEE: eloquent	 ::
speak of the devil and he appears {phrase} (expression used when a person mentioned in the current conversation happens to arrive)	 :: når man snakker om sola, så skinner den
spear {n} (long stick with a sharp tip)	 :: spyd {n}, spjut {n}
spear {n}	 :: spyd {n}
spear carrier {n} (person in a play or movie with a minimal part) SEE: walk-on	 ::
spearthrower {n} (atlatl) SEE: atlatl	 ::
special {adj} (distinguished by a unique or unusual quality)	 :: spesiell
special {adj} (of particular interest or value; certain; dear; beloved; favored)	 :: spesiell
special interest group {n} (advocacy group) SEE: advocacy group	 ::
specialist {n} (expert)	 :: spesialist
specialist {n} (physician)	 :: spesialist
specialty {n} (that in which one specializes)	 :: spesialitet
species {n} (group of plants or animals having similar appearance)	 :: [Bokmål] art {m} {f}; [Nynorsk] art {m} {f}
species {n} (rank in a taxonomic classification)	 :: [Bokmål] art {m} {f}; [Nynorsk] art {m} {f}
specificness {n} (specificity) SEE: specificity	 ::
spectacle {n} (optical instrument) SEE: spectacles	 ::
spectacled {adj} (wearing spectacles) SEE: bespectacled	 ::
spectacles {n} (a pair of lenses set in a frame)	 :: briller {m-p}
spectacles {n} (plural of spectacle) SEE: spectacle	 ::
speech {n} (a dialect or language) SEE: dialect, language	 ::
speech {n} (an oration, session of speaking)	 :: [Bokmål] tale {m}
speech {n} (vocal communication)	 :: tale {m}, stemme {m}
speech balloon {n} (speech balloon) SEE: speech bubble	 ::
speechless {adj} (not speaking; not knowing what to say)	 :: [Bokmål] målløs, mållaus; [Nynorsk] mållaus
speed {n} (luck, success, prosperity) SEE: luck, success, prosperity	 ::
speed {n} (photographic sensitivity to light)	 :: hastighet {m} {f}
speed {n} (rapidity)	 :: [Bokmål] fart {m} {f}, hastighet {m} {f}; [Nynorsk] hastigheit {f}
speed {n} (rate of motion)	 :: [Bokmål] hastighet {m} {f}, fart {m} {f}, hurtighet {m} {f}; [Nynorsk] hastigheit {f}
speed {v} (to exceed speed limit)	 :: råkjøre, kjøre over fartsgrensen, flå
speed {v} (to go fast)	 :: råkjøre
speed skating {n} (The sport of racing around an oval course on ice skates)	 :: hurtigløp på skøyter
spell {n} (magical incantation)	 :: trylleformel {m}, formel {m}, besvergelse {m}
spell {v} (to compose a word)	 :: stave
spellbound {adj} (fascinated by something; entranced as if by a spell)	 :: trollbundet
spelt {n} (a type of wheat, Triticum aestivum spelta)	 :: spelt
spelunk {n} (cave, cavern, grotto) SEE: cave	 ::
spend {n} (expenditures)	 :: lommepenger {p}
spend {v}	 :: bruke, tilbringe (only time)
spend {v} (to consume, to use up (time))	 :: bruke
sperm {n} (semen (fluid))	 :: sperm {m}, sperma {m}, sæd {m}
sperm bank {n} (vulgar: vagina) SEE: cunt	 ::
sperm whale {n} (sperm whale)	 :: spermhval {m}, kaskelott {m}
spew {n} (ejaculate) SEE: ejaculate	 ::
spew {n} (vomit) SEE: vomit	 ::
sphene {n} (titanite) SEE: titanite	 ::
sphenoid {n} (sphenoid bone) SEE: sphenoid bone	 ::
spheral {adj} (spherical) SEE: spherical	 ::
sphere {n} (astronomy: apparent outer limit of space) SEE: celestial sphere	 ::
sphere {n} (mathematics: regular three-dimensional object)	 :: [Bokmål] sfære {m}, kule {m} {f}; [Nynorsk] sfære {m}, kule {f}
sphere {n} (region in which something or someone is active)	 :: [Bokmål] sfære {m}; [Nynorsk] sfære {m}
sphere {n} (spherical physical object)	 :: [Bokmål] sfære {m}, kule {m} {f}; [Nynorsk] sfære {m}, kule {f}
spherical {adj} (of or relating to a sphere or spheres)	 :: [Bokmål] sfærisk; [Nynorsk] sfærisk
spherical {adj} (shaped like a sphere)	 :: [Bokmål] sfærisk; [Nynorsk] sfærisk
sphincteric {adj} (sphincteral) SEE: sphincteral	 ::
sphinx {n} (mythology: creature with the head of a person and the body of an animal)	 :: sfinks
Sphinx {prop} (Greek mythological creature)	 :: sfinks {m}
Sphinx {prop} (large monument in Egypt)	 :: Sfinksen
spice {n} (any variety of spice)	 :: krydder {n}
spice {n} (plant matter used to season or flavour food)	 :: krydder
spice {n} (Yorkshire dialect: sweets, candy) SEE: sweets, candy	 ::
spice {v} (to add spice or spices to)	 :: krydre
spicewood {n} (spicebush) SEE: spicebush	 ::
spider {n} (arthropod)	 :: [Bokmål] edderkopp {m}; [Nynorsk] edderkopp {m}
spiderweb {n} (net-like construct of a spider)	 :: [Bokmål] spindelvev {m} {n}; [Nynorsk] spindelvev {m}
spigot {n} (a pin or peg used to stop the vent in a cask)	 :: svikk {m}
spigot {n} (faucet) SEE: tap	 ::
spigot {n} (the plug of a faucet or cock)	 :: tapp {m}, propp {m}
spill one's guts {v} (vomit) SEE: vomit	 ::
spin {n} (flight condition)	 :: spinn
spin {n} (physics: quantum angular momentum)	 :: spinn {n}
spin {n} (rotation of a ball in motion)	 :: spinn
spin {v}	 :: spinne, dreie, snurre
spin {v} (to make the ball move sideways)	 :: spinne
spin {v} (to make yarn)	 :: spinne
spin {v} (to turn around quickly)	 :: spinne
spinach {n} (a particular edible plant, Spinacia oleracea)	 :: spinat
spindle {n} (rod in spinning and winding thread)	 :: [Bokmål] spindel {m}
spine {n} (backbone)	 :: ryggrad {m}
spine {n} (bound edge of a book)	 :: rygg {m}
spine {n} (metaphor for courage or assertiveness)	 :: ryggrad {m}
spine pig {n} (porcupine) SEE: porcupine	 ::
spinet {n} (short, compact harpsichord)	 :: spinett {n}
spinning top {n} (a toy)	 :: [Bokmål] snurrebass {m}; [Nynorsk] snurrebass {m}, snurrebasse {m}
spinning wheel {n} (device for spinning thread with a wheel and a spindle)	 :: rokk {m}, spinnerokk {m}, spinnrokk {m}, hjulrokk {m}
spiny anteater {n} (common name for echidna) SEE: echidna	 ::
spiny dogfish {n} (Squalus acanthias)	 :: [Bokmål] pigghå {m}; [Nynorsk] pigghå {m}
spirit {n} (alcohol)	 :: sprit {p}
spirit {n} (soul)	 :: ånd {m}, sjel {f}
Spiritism {prop} (a philosophical doctrine)	 :: spiritisme
spirits {n} (strong alcoholic drink derived from fermentation and distillation)	 :: sprit
spiritual {adj} (of or pertaining to the spirit or the soul)	 :: åndelig, spirituell
spit {n} (a rod on which meat is grilled/broiled)	 :: [Bokmål] spidd {n}; [Nynorsk] spidd {n}
spit {v} (to evacuate saliva from the mouth)	 :: [Bokmål] spytte
Spitsbergen {prop} (island)	 :: Spitsbergen
spitter {n} (baseball sense) SEE: spitball	 ::
spleen {n} (organ)	 :: [Bokmål] milt {m}; [Nynorsk] milt {m}
splice {n} (junction or joining of ropes)	 :: spleis {m}
splice {v} (to unite in marriage) SEE: marry	 ::
splice {v} (to unite ropes by interweaving the strands)	 :: spleise
spline {n} (flexible strip)	 :: rilinjal {m}
spline {n} (smooth mathematical curve)	 :: rikurve {m}, rifunksjon {m}
splint {n} (narrow strip of wood)	 :: [Bokmål] splint {m}, flis {m} {f}; [Nynorsk] splint {m}, flis {f}
split {n} (baseball pitch) SEE: split-finger fastball	 ::
spoiled {adj} (spoilt) SEE: spoilt	 ::
spoiler {n} (document, review or comment)	 :: [Bokmål] spoiler {m}
spoilsport {n} (someone who puts an end to harmless fun)	 :: [Bokmål] gledesdreper
spokesman {n} (one who speaks as the voice of a group of people)	 :: talsmann {m}, talsperson {m}
sponge {n} (marine invertebrate with a porous skeleton)	 :: svamp {m}
sponge {n} (piece of porous material used for washing)	 :: svamp {m}
sponge {n} (sponge cake) SEE: sponge cake	 ::
sponge {n} (sponge pudding) SEE: sponge pudding	 ::
spongecake {n} (cake which has a firm yet well aerated structure) SEE: sponge cake	 ::
spontaneous {adj} (random) SEE: random	 ::
spontaneous {adj} (self generated; happening without any apparent external cause)	 :: [Bokmål] spontan; [Nynorsk] spontan
spontaneous {adj} (sudden, without warning)	 :: [Bokmål] plutselig {m} {f} {n}; [Nynorsk] plutseleg {m} {f} {n}
spoon {n} (measure that will fit into a spoon) SEE: spoonful	 ::
spoon {n} (scooped utensil for eating (or serving))	 :: [Bokmål] skje {m} {f}, skei {m} {f}; [Nynorsk] skei {f}
spoonbill {n} (paddlefish) SEE: paddlefish	 ::
sporange {n} (sporangium) SEE: sporangium	 ::
sport {n} (any athletic activity that uses physical skills)	 :: [Bokmål] sport; [Nynorsk] idrett
sports car {n} (automobile designed for high speed)	 :: [Bokmål] sportsbil {m}; [Nynorsk] sportsbil {m}
spot {n} (a round or irregular patch of a different color)	 :: flekk, prikk
spot {n} (location or area)	 :: sted {n}
spot {n} (pimple, pustule)	 :: kvise
spot {n} (stain)	 :: flekk
spot {v} (loan money to somebody)	 :: låne
spot {v} (see, pick out, notice or identify)	 :: oppdage, identifisere
spotted dog {n} (Lycaon pictus) SEE: African hunting dog	 ::
spotted dragonet {n} (Callionymus maculatus)	 :: flekket fløjfisk, flekket fløyfisk
spouse {n} (husband or wife)	 :: ektefelle {m}, ektemake {m}
spouse {v} (to get married to) SEE: espouse	 ::
Sprachgefühl {n} (the instinctive or intuitive grasp of a language)	 :: språkøre {n}, språkfølelse {m}
spray can {n} (pressurized canister) SEE: aerosol can	 ::
sprayhood {n} (companionway cover) SEE: dodger	 ::
spreader {n} (horizontal spar attached to the mast of a sailboat in order to extend the shrouds)	 :: salingshorn
spreadsheet {n} (A computer simulation of such a system of recording tabular data, with totals and other formulae calculated automatically)	 :: regneark {n}
sprig {n} (brad)	 :: dykker {m}, dykkert {m}, stift {m}, trådstift {m}
sprig {n} (small shoot or twig)	 :: kvist {m}, dusk {m} (of parsely), liten grein {c}, bukett {m} (single part of a cauliflower)
sprig {n} (youth)	 :: jypling {m}, oppkomling {m}, spire {m}
spring {n} (device made of flexible material)	 :: [Bokmål] fjær {m} {f}; [Nynorsk] fjør {f}
spring {n} (erection of the penis) SEE: erection	 ::
spring {n} (first season)	 :: vår {m}
springbok {n} (antelope)	 :: springbukk {m}
spring equinox {n} (vernal equinox) SEE: vernal equinox	 ::
springlike {adj} (typical of spring)	 :: vårlig
spring roll {n} (egg roll) SEE: egg roll	 ::
sprint {n} (burst of speed or activity)	 :: [Bokmål] spurt {m}; [Nynorsk] spurt {m}
sprint {v} (To run etc at top speed for a short period)	 :: [Bokmål] spurte; [Nynorsk] spurte
sprite {n} (the green woodpecker, or yaffle) SEE: green woodpecker	 ::
sprocket {n} (toothed wheel)	 :: [Bokmål] drev {n}; [Nynorsk] drev {n}
sprout {n} (Brussels sprout) SEE: Brussels sprout	 ::
spruce {n} (attributive: made of the wood of the spruce)	 :: [Bokmål] gran {m} {f}; [Nynorsk] gran {f}
spruce {n} (tree from the genus Picea)	 :: [Bokmål] gran {m} {f}; [Nynorsk] gran {f}
spruce {n} (wood of a spruce)	 :: [Bokmål] gran {m} {f}; [Nynorsk] gran {f}
spurdog {n} (spiny dogfish) SEE: spiny dogfish	 ::
spurious {adj} (false)	 :: falsk, uekte
spur on {v} (spur) SEE: spur	 ::
sputnik {n} (a Soviet unmanned space satellite)	 :: [Bokmål] sputnik
spy {n} (person who secretly watches)	 :: [Bokmål] spion {m}; [Nynorsk] spion {m}
spy {v} (to act as a spy)	 :: spionere
spy {v} (to spot at a distance)	 :: få øye på
spyglass {n} (binoculars) SEE: binoculars	 ::
spying {n} (espionage) SEE: espionage	 ::
spyware {n} (program)	 :: spionprogramvare, spionvare {m}
Spy Wednesday {n} (Holy Wednesday) SEE: Holy Wednesday	 ::
SQL {initialism} (SQL)	 :: SQL {n}
squabble {n} (minor fight or argument)	 :: [Bokmål] kjekling {c}; [Nynorsk] kjekling {f}
squabble {v} (participate in a minor fight or argument)	 :: kjekle
square {adj} (at right angles to)	 :: [Bokmål] vinkelrett på; [Nynorsk] vinkelrett på
square {adj} (in the names of units)	 :: [Bokmål] kvadrat-; [Nynorsk] kvadrat-
square {adj} (shaped like a square)	 :: [Bokmål] kvadratisk, firkantet, firkanta; [Nynorsk] kvadratisk, firkanta
square {adj} (socially conventional)	 :: [Bokmål] firkantet, firkanta; [Nynorsk] firkanta
square {n} (open space in a town)	 :: [Bokmål] torg {n}, plass {m}; [Nynorsk] torg {n}, plass {m}
square {n} (polygon)	 :: [Bokmål] kvadrat {n}; [Nynorsk] kvadrat {n}
square {n} (second power)	 :: [Bokmål] kvadrat {m}; [Nynorsk] kvadrat {m}
square {n} (the # symbol on a telephone)	 :: [Bokmål] firkanttast {m}; [Nynorsk] firkanttast {m}
square {v} (math: to multiply by itself)	 :: [Bokmål] kvadrere; [Nynorsk] kvadrere
square {v} (to resolve)	 :: [Bokmål] løse; [Nynorsk] løyse
square bracket {n} (symbol [ or ])	 :: hakeparentes {m}
square kilometer {n} (square kilometre) SEE: square kilometre	 ::
square kilometre {n} (standard unit of area)	 :: [Bokmål] kvadratkilometer {m}; [Nynorsk] kvadratkilometer {m}
square metre {n} (standard unit of area)	 :: [Bokmål] kvadratmeter {m}; [Nynorsk] kvadratmeter {m}
square root {n} (number)	 :: kvadratrot
squash {n} (plant and its fruit of the genus Cucurbita)	 :: [Bokmål] squash {m}, skvåsj {m}; [Nynorsk] squash {m}, skvåsj {m}
squash {n} (soft drink) SEE: cordial	 ::
squash {n} (The sport)	 :: [Bokmål] squash {m}, skvåsj {m}; [Nynorsk] squash {m}, skvåsj {m}
squat cage {n} (power rack) SEE: power rack	 ::
squeaky clean {adj} (very clean)	 :: gullende ren
squeamish {adj} (easily bothered or upset; tending to be nauseous or nervous)	 :: pysete
squeegee {n} (tool used for cleaning glass)	 :: [Bokmål] nal {m}; [Nynorsk] nal
squid {n} (sea animal)	 :: akkar {m}
squint {n} (hagioscope) SEE: hagioscope	 ::
squint {v} (to look with the eyes partly closed, as in bright sunlight)	 :: [Bokmål] myse, plire, glire; [Nynorsk] myse, plire, glire
squirm {v} (to evade a question, an interviewer etc.)	 :: vri seg unna
squirm {v} (twist in discomfort, especially from shame or embarrassment)	 :: vri seg
squirm {v} (twist one’s body with snakelike motion)	 :: vri seg
squirrel {n} (rodent)	 :: [Bokmål] ekorn {m} {n}; [Nynorsk] ekorn {n}, ikorn {n}
Sri Jayawardenepura Kotte {prop} (the administrative capital of Sri Lanka)	 :: Kotte
Sri Lanka {prop} (a country in South Asia)	 :: Sri Lanka
Sri Lankan {adj} (Of, from, or pertaining to Sri Lanka, the Sri Lankan people or the Sri Lankan language)	 :: [Bokmål] srilankisk; [Nynorsk] srilankisk
Sri Lankan {n} (A person from Sri Lanka or of Sri Lankan descent)	 :: [Bokmål] srilanker {m}; [Nynorsk] srilankar {m}
st {interj} (expressing a sudden desire for silence)	 :: hysj
stab {n} (act of stabbing)	 :: stikk {n}
stab {n} (criticism)	 :: stikk {n}
stab {n} (pain inflicted on a person's feelings)	 :: stikk {n}
stab {n} (wound made by stabbing)	 :: stikk {n}
stab {v} (To cause a sharp painful sensation)	 :: stikke
stab {v} (To pierce or wound with pointed object)	 :: stikke
stability {n} (condition of being stable)	 :: [Bokmål] stabilitet {m}; [Nynorsk] stabilitet {m}
stable {adj} (relatively unchanging)	 :: stabil
stable {n} (building for animals with hoofs)	 :: stall {m}
stable {n} (building for horses)	 :: stall {m}
stable {n} (stable for oxen, cows, cattle)	 :: fjøs {n}
stack {n} (computing: data structure)	 :: stakk
stadium {n} (venue where sporting events are held)	 :: [Bokmål] stadion {n}; [Nynorsk] stadion {n}
stag {n} (adult male deer)	 :: hjort, kronhjort
stag {n} (one who applies for shares with a view to sell immediately at a premium)	 :: emisjonsjobber {m}, oppkjøper {m}
stag {n} (social event for a groom)	 :: utdrikkingslag {n}
stag party {n} (bachelor party) SEE: bachelor party	 ::
stained glass {n} (coloured glass)	 :: glassmaleri
stainless {n} (stainless steel) SEE: stainless steel	 ::
stair {n} (series of steps)	 :: trapp {m} {f}
stair {n} (single step)	 :: trinn {n}
stairs {n} (contiguous set of steps)	 :: trapp {m} {f}
stairwell {n} (a shaft in a multi-story building enclosing a stairway or staircase)	 :: [Bokmål] trappeoppgang {m}; [Nynorsk] trappeoppgang {m}
stake {n} (piece of wood)	 :: stake {m}, påle {m}
stake {n} (share or interest in a business)	 :: aksje {m}
stake {n} (timber to which a martyr was affixed to be burned)	 :: påle {m}
stake {n} (wager or pledge)	 :: interesse {m}, risiko {m}
Stalinism {n} (Communist philosophies espoused by Josef Stalin)	 :: stalinisme
stalk {n} (petiole, pedicel, or peduncle of a plant) SEE: petiole, pedicel, peduncle	 ::
stalk {n} (stem or main axis of a plant)	 :: [Bokmål] stengel {m}; [Nynorsk] stengel {m}
stalk {v}	 :: stilk
stalker {n} (a person who secretly follows someone, sometimes with unlawful intentions)	 :: stalker
stallion {n} (male horse kept primarily as a stud)	 :: [Bokmål] avlshingst {m}, stohingst {m}; [Nynorsk] avlshingst {m}, alshingst {m}, alehingst {m}, stohingst {m}
stallion {n} (uncastrated male horse)	 :: [Bokmål] hingst {m}, grahest {m}, hest {m}, (ukastrert) hannhest {m}; [Nynorsk] hingst {m}, grahest {m}, hest {m}, (ukastrert) hannhest {m}
stallion {n} (very virile, sexy or horny man)	 :: [Bokmål] grahest {m}; [Nynorsk] grahest {m}
stammerer {n} (stutterer) SEE: stutterer	 ::
stamp {n} (postage stamp) SEE: postage stamp	 ::
stamp-collecting {n} (stamp hobby) SEE: philately	 ::
stance {n} (manner, posture, or pose in which one stands)	 :: kroppsholdning {m}
stance {n} (opinion or point of view)	 :: standpunkt {n}
stand {n} (grandstand) SEE: grandstand	 ::
stand {n}	 :: stativ
stand {v}	 :: stå
stand {v} (to place in an upright or standing position)	 :: reise opp
stand {v} (to remain motionless)	 :: stå, bli stående
stand {v} (to rise to one’s feet)	 :: reise seg, stå opp
stand {v} (to support oneself on the feet in an erect position)	 :: stå
stand {v} (to tolerate)	 :: motstå, tåle
stand {v} (to undergo; withstand; hold up)	 :: motstå
standardize {v} (standardise) SEE: standardise	 ::
standard time {n} (synchronized clock time in each graphical locations)	 :: normaltid; [Nynorsk] normaltid
stand-up bass {n} (instrument) SEE: double bass	 ::
Stanley knife {n} (utility knife) SEE: utility knife	 ::
stanza {n} (a unit of a poem)	 :: [Bokmål] strofe {m}; [Nynorsk] strofe {f}
stapes {n} (bone in the middle ear)	 :: stigbøyle {f}
staple {n} (U-shaped metal fastener)	 :: [Bokmål] krampe {m}; [Nynorsk] krampe {m}
stapler {n} (device which binds together paper)	 :: stiftemaskin {m}
star {n} (celebrity)	 :: kjendis {m}; [Bokmål] stjerne {m} {f}; [Nynorsk] stjerne {f}
star {n} (luminous celestial body)	 :: [Bokmål] stjerne {m} {f}; [Nynorsk] stjerne {f}
star {n} (quality rating symbol)	 :: [Bokmål] stjerne {m} {f}; [Nynorsk] stjerne {f}
star anise {n} (a plant, Illicium verum)	 :: stjerneanis
starch {n} (substance)	 :: stivelse
star cluster {n} (group of stars)	 :: stjernehop {m}
stare {v} (To look fixedly)	 :: stare
starfish {n} (various echinoderms)	 :: sjøstjerne {c}
star fruit {n} (fruit)	 :: stjernefrukt
starling {n} (bird)	 :: [Bokmål] stær {m}; [Nynorsk] stare {m}, star {m}
starring {v} (present participle of "to star") SEE: star	 ::
starry sturgeon {n} (Acipenser stellatus) SEE: sevruga	 ::
start {v} (to begin)	 :: begynne
starter {n} (electric motor that starts an internal-combustion engine)	 :: [Bokmål] startmotor {m}; [Nynorsk] startmotor {m}
starter motor {n} (starter motor) SEE: starter	 ::
starvation {n} (a condition of severe suffering due to a lack of nutrition)	 :: [Bokmål] sult {m}; [Nynorsk] svolt {m}
stat {adv} (Immediately, now)	 :: øyeblikkelig, nå
state {n} (a condition)	 :: tilstand
state {n} (any sovereign polity)	 :: [Bokmål] stat {m}; [Nynorsk] stat {m}
state {n} (a political division of a federation retaining a degree of autonomy)	 :: [Bokmål] stat {m}, delstat {m}; [Nynorsk] stat {m}, delstat {m}
statecraft {n} (statesmanship) SEE: statesmanship	 ::
statefunction {n} (wavefunction) SEE: wavefunction	 ::
statement {n}	 :: påstand {m}, ytring {c}
static electricity {n} (electrostatics) SEE: electrostatics	 ::
station {n} (Australia: very large livestock farm) SEE: ranch	 ::
station {n} (place where a vehicle may stop)	 :: [Bokmål] stasjon {m}
stationary bicycle {n} (exercise bicycle) SEE: exercise bicycle	 ::
station wagon {n} (body style for cars)	 :: [Bokmål] stasjonsvogn {m} {f}; [Nynorsk] stasjonsvogn {f}
statist {n} (statistician) SEE: statistician	 ::
statistic {adj} (statistical) SEE: statistical	 ::
statistical analysis {n} (process)	 :: statistisk analyse {m}
statistics {n} (collection of measurements)	 :: statistikk
statistics {n} (mathematical science)	 :: statistikk
statue {n} (three-dimensional work of art)	 :: [Bokmål] statue {m}; [Nynorsk] statue {m}
status {n} (a person’s position or standing relative to that of others)	 :: status {m}
status symbol {n} (visible sign of status or wealth)	 :: [Bokmål] statussymbol {n}; [Nynorsk] statussymbol {n}
Stavanger {prop} (city in Norway)	 :: Stavanger
stave church {n} (wooden church of a medieval type)	 :: [Bokmål] stavkirke {f}; [Nynorsk] stavkyrkje {f}
stay {n} (supporting rope or wire)	 :: stag
stay {v} (To continue to have a particular quality)	 :: bli, forbli
stay {v} (To remain in a particular place)	 :: bli, forbli
steadfast {adj} (Firmly loyal or constant; unswerving)	 :: stødig, traust
steadfast {adj} (fixed or unchanging; steady)	 :: stødig
steak {n} (slice of beef)	 :: steik, stek {m}
steak {n} (slice of meat of other animals)	 :: steik, stek {m}
steal {n} (merchandise available at a very attractive price)	 :: kupp {n}; [Bokmål] tyverikjøp {n}
steal {v} (to draw attention)	 :: stjele
steal {v} (to get or effect surreptitiously or artfully)	 :: stjele
steal {v} (to illegally take possession of)	 :: [Bokmål] stjele; [Nynorsk] stele
steal {v} (to move silently)	 :: liste seg
steamboat {n} (vessel powered by steam)	 :: dampskip {n}
steam engine {n} (steam locomotive) SEE: steam locomotive	 ::
steamer {n} (steamship or steamboat)	 :: dampskip {n}
steamship {n} (vessel propelled by steam)	 :: dampskip {n}
stearin {n} (the triglyceride of stearic acid)	 :: [Bokmål] stearin {m}; [Nynorsk] stearin {m}
steel {n} (metal)	 :: [Bokmål] stål {n}; [Nynorsk] stål {n}
steel oneself {v} (action of concentration in preparation for a rigorous task)	 :: stålsette seg
steelworks {n} (place where steel is manufactured and/or shaped)	 :: [Bokmål] stålverk {n}; [Nynorsk] stålverk {n}
steep {adj} (near-vertical)	 :: bratt
steeple {n} (spire) SEE: spire	 ::
St. Elmo's fire {n} (electrical discharge)	 :: Sankt Elms ild
stem {n} (botany: above-ground stalk of a vascular plant)	 :: [Bokmål] stengel {m}; [Nynorsk] stengel {m}
stem {n} (nautical: forward vertical extension of the keel)	 :: [Nynorsk] framstamn {m}
stem {v} (to be caused)	 :: [Bokmål] forårsake
stem cell {n} (primal undifferentiated cell)	 :: stamcelle
steno {n} (stenographer) SEE: stenographer	 ::
step {n} (space passed over by one movement of the foot in walking or running)	 :: skritt {n}, steg {n}
stepfather {n} (husband of one's biological mother, other than one's biological father)	 :: stefar {m}
Stephen {prop} (biblical martyr)	 :: Stefanus
Stephen {prop} (male given name)	 :: Stefan
step ladder {n} (ladder with steps or treads instead of rungs)	 :: gardintrapp {m} {f}; [Nynorsk] gardintrapp {f}
stepmother {n} (wife of one's biological father, not one's biological mother)	 :: stemor {f}
steppe {n} (the grasslands of Eastern Europe and Asia)	 :: [Bokmål] steppe {m}; [Nynorsk] steppe {f}
sternpost {n} (timber or bar at the stern of a vessel)	 :: [Bokmål] bakstevn {m}, bakstavn {m}; [Nynorsk] bakstamn {m}
sternum {n} (breastbone) SEE: breastbone	 ::
Stettin {prop} (Szczecin) SEE: Szczecin	 ::
stevedore {n} (dockworker involved in loading and unloading cargo)	 :: havnearbeider {m}, bryggesjauer {m}
Steven {prop} (male given name) SEE: Stephen	 ::
stick {n} (cane or walking stick)	 :: stokk {m}
stick {n} (gearstick, stickshift)	 :: girspak {m}
stick {n} (hockey stick)	 :: hockeykølle {m}
stick {n} (long piece of wood)	 :: kjepp {m}
stick {n} (twig or small branch)	 :: kvist {m}
stick {v} (to tolerate, endure, stick with) SEE: stick with	 ::
sticker {n} (price tag) SEE: price tag	 ::
stick figure {n} (a simple drawing)	 :: strekfigur {m}
sticking plaster {n} (adhesive bandage) SEE: band-aid	 ::
stick note {n} (post-it note) SEE: post-it note	 ::
stick out {v} (to persist) SEE: stick it out	 ::
stickpin {n} (pin to hold necktie) SEE: tie clip	 ::
sticky note {n} (post-it note) SEE: post-it note	 ::
stigmatize {v} (to characterize as disgraceful or ignominious)	 :: [Bokmål] stigmatisere; [Nynorsk] stigmatisere
stiletto {n} (awl) SEE: awl	 ::
stiletto {n} (rapier) SEE: rapier	 ::
still {adj} (not moving)	 :: stille
still {adv} (nevertheless)	 :: likevel, enda
still {adv} (to an even greater degree)	 :: [Bokmål] enda; [Nynorsk] endå, enda
still {adv} (up to a time, as in the preceding time)	 :: [Bokmål] ennå, fremdeles; [Nynorsk] enno, ennå, framleis
still {n} (a device for distilling liquids)	 :: destillasjonsapparat {n}
still {v} (to calm down)	 :: roe, stille (archaic)
stillborn {adj} (dead at birth)	 :: dødfødt
stillborn {adj} (ignored, without influence, unsuccessful, abortive)	 :: dødfødt
still life {n} (work of art)	 :: [Bokmål] stilleben {n}; [Nynorsk] stilleben {n}
stilted {adj} (stiff and artificially formal)	 :: oppstyltet
sting {n} (bite or sting (by an insect))	 :: stikk {n}
sting {n} (bump on skin after having been stung)	 :: stikk {n}
sting {n} (pointed portion of an insect or arachnid used for attack) SEE: stinger	 ::
sting {v} (of an insect: to bite)	 :: stikke
stinger {n} (pointed portion of an insect)	 :: brodd {m}
